161
171
['554', '943', '165']
['119', '123', '860']
['715', '51', '138']
['51', '97', '602']
['602', '249', '791']
['950', '846', '831']
['899', '543', '937']
['993', '467', '623']
['234', '691', '228']
['77', '218', '157']
['846', '333', '966']
['172', '352', '279']
['489', '153', '417']
['604', '385', '649']
['11', '218', '429']
['899', '432', '19']
['420', '444', '519']
['716', '931', '985']
['378', '884', '162']
['590', '175', '880']
['689', '604', '732']
['931', '425', '929']
['931', '51', '601']
['11', '749', '966']
['993', '19', '834']
['101', '83', '638']
['963', '279', '172']
['11', '77', '197']
['351', '657', '983']
['682', '937', '454']
['943', '218', '436']
['688', '851', '467']
['602', '689', '432']
['432', '32', '638']
['972', '352', '165']
['255', '417', '197']
['333', '308', '649']
['385', '590', '669']
['218', '639', '736']
['234', '568', '162']
['454', '19', '890']
['360', '534', '97']
['874', '97', '534']
['234', '746', '397']
['598', '706', '153']
['378', '153', '937']
['454', '765', '612']
['467', '782', '931']
['570', '590', '777']
['943', '328', '205']
['602', '950', '123']
['755', '554', '343']
['590', '289', '197']
['165', '931', '804']
['154', '11', '570']
['931', '229', '180']
['489', '777', '11']
['522', '725', '380']
['716', '782', '197']
['19', '65', '101']
['101', '279', '943']
['154', '429', '874']
['715', '657', '101']
['228', '689', '328']
['211', '465', '263']
['730', '543', '88']
['249', '8', '175']
['155', '810', '263']
['834', '586', '980']
['706', '810', '931']
['730', '697', '695']
['432', '610', '519']
['980', '688', '715']
['331', '570', '255']
['165', '308', '101']
['568', '804', '397']
['402', '945', '604']
['522', '804', '341']
['993', '515', '602']
['568', '193', '884']
['175', '425', '11']
['432', '697', '691']
['883', '791', '804']
['522', '523', '880']
['172', '249', '745']
['434', '205', '378']
['548', '207', '966']
['308', '551', '279']
['545', '554', '101']
['157', '360', '545']
['570', '755', '745']
['101', '874', '694']
['831', '11', '667']
['781', '874', '378']
['328', '749', '218']
['88', '870', '77']
['385', '51', '694']
['138', '77', '279']
['80', '598', '639']
['229', '218', '11']
['157', '377', '32']
['716', '65', '899']
['765', '963', '397']
['80', '436', '255']
['548', '657', '635']
['662', '324', '746']
['730', '883', '255']
['588', '688', '385']
['420', '586', '746']
['380', '162', '101']
['993', '385', '165']
['32', '157', '612']
['101', '669', '682']
['961', '454', '649']
['870', '834', '568']
['165', '123', '601']
['377', '682', '623']
['669', '157', '851']
['834', '732', '638']
['11', '156', '570']
['397', '429', '598']
['380', '601', '688']
['657', '782', '791']
['38', '397', '328']
['228', '454', '860']
['402', '255', '417']
['736', '765', '80']
['83', '755', '777']
['804', '554', '725']
['378', '417', '38']
['568', '198', '943']
['716', '234', '180']
['360', '694', '378']
['601', '65', '624']
['715', '623', '157']
['380', '705', '172']
['755', '831', '667']
['972', '694', '263']
['804', '343', '218']
['624', '715', '328']
['880', '205', '11']
['454', '377', '417']
['695', '963', '352']
['385', '165', '657']
['688', '749', '257']
['791', '682', '331']
['434', '610', '104']
['834', '929', '522']
['65', '198', '890']
['588', '945', '378']
['746', '211', '950']
['341', '568', '198']
['289', '657', '985']
['198', '688', '602']
['972', '610', '810']
['380', '548', '972']
['823', '156', '691']
['454', '489', '705']
['781', '545', '590']
['162', '193', '545']
['551', '32', '635']
['657', '834', '993']
['638', '851', '155']
['695', '965', '19']
['781', '804', '993']
['781', '610', '65']
['83', '983', '980']
['570', '543', '682']
['154', '691', '705']
['691', '324', '523']
['331', '590', '965']
['436', '19', '586']
['635', '649', '601']
['810', '931', '649']
['321', '705', '522']
['180', '688', '205']
['351', '454', '884']
['205', '279', '689']
['198', '716', '725']
['899', '324', '963']
['548', '870', '874']
['635', '983', '352']
['586', '543', '20']
['874', '38', '328']
['624', '985', '612']
['263', '153', '523']
['467', '123', '598']
['554', '193', '880']
['343', '157', '420']
['545', '823', '97']
['730', '884', '831']
['610', '657', '548']
['249', '429', '257']
['667', '249', '534']
['966', '83', '874']
['624', '548', '249']
['662', '715', '198']
['153', '874', '180']
['255', '706', '279']
['138', '522', '570']
['351', '966', '402']
['730', '931', '545']
['548', '65', '874']
['175', '884', '669']
['534', '590', '234']
['543', '980', '123']
['812', '545', '834']
['624', '80', '19']
['662', '180', '308']
['860', '649', '624']
['444', '716', '429']
['157', '308', '870']
['324', '420', '97']
['154', '602', '890']
['966', '425', '777']
['963', '378', '697']
['198', '324', '420']
['691', '812', '289']
['705', '341', '689']
['308', '985', '689']
['97', '432', '397']
['279', '197', '554']
['612', '385', '165']
['19', '20', '688']
['649', '993', '745']
['193', '706', '834']
['279', '154', '870']
['432', '8', '588']
['697', '972', '155']
['519', '522', '65']
['207', '522', '624']
['324', '649', '489']
['153', '123', '884']
['961', '706', '454']
['420', '228', '80']
['119', '860', '360']
['32', '444', '175']
['207', '705', '598']
['180', '732', '810']
['638', '83', '467']
['635', '249', '846']
['649', '983', '165']
['667', '639', '602']
['77', '321', '229']
['331', '351', '568']
['154', '548', '515']
['570', '791', '688']
['639', '810', '156']
['639', '870', '638']
['263', '218', '985']
['343', '534', '765']
['420', '604', '883']
['649', '736', '860']
['688', '860', '162']
['351', '263', '432']
['950', '831', '157']
['425', '874', '97']
['667', '205', '931']
['624', '931', '874']
['706', '804', '123']
['289', '639', '343']
['961', '436', '810']
['467', '138', '689']
['568', '638', '425']
['943', '694', '689']
['883', '965', '197']
['765', '119', '604']
['351', '545', '804']
['211', '963', '308']
['601', '119', '972']
['623', '730', '697']
['436', '791', '669']
['289', '777', '730']
['983', '380', '705']
['689', '519', '812']
['230', '846', '548']
['402', '602', '331']
['604', '8', '586']
['331', '101', '88']
['624', '929', '601']
['823', '11', '263']
['706', '612', '83']
['570', '777', '380']
['612', '321', '883']
['667', '570', '157']
['551', '77', '123']
['19', '610', '746']
['874', '489', '931']
['420', '682', '97']
['432', '11', '543']
['351', '716', '101']
['523', '950', '20']
['198', '289', '523']
['899', '352', '691']
['157', '343', '697']
['522', '929', '694']
['649', '88', '154']
['331', '467', '11']
['429', '333', '823']
['548', '781', '153']
['548', '432', '706']
['601', '331', '765']
['545', '937', '279']
['545', '197', '83']
['604', '834', '694']
['697', '963', '162']
['172', '417', '604']
['834', '682', '519']
['165', '154', '884']
['804', '515', '153']
['669', '972', '104']
['255', '198', '155']
['385', '639', '669']
['162', '745', '635']
['101', '689', '961']
['11', '83', '870']
['249', '425', '11']
['993', '755', '249']
['725', '324', '965']
['972', '545', '568']
['568', '331', '884']
['746', '588', '32']
['590', '899', '417']
['846', '385', '870']
['950', '465', '83']
['88', '782', '831']
['65', '831', '604']
['601', '234', '467']
['432', '706', '716']
['175', '851', '162']
['851', '745', '554']
['831', '943', '341']
['489', '570', '420']
['234', '377', '229']
['519', '749', '846']
['972', '851', '279']
['385', '716', '279']
['534', '523', '417']
['804', '694', '980']
['725', '682', '380']
['716', '602', '175']
['19', '351', '165']
['255', '402', '162']
['689', '417', '155']
['397', '961', '385']
['688', '812', '716']
['519', '331', '689']
['175', '20', '38']
['157', '343', '601']
['172', '20', '588']
['162', '612', '725']
['162', '870', '333']
['255', '874', '138']
['791', '360', '197']
['945', '19', '950']
['543', '860', '880']
['965', '321', '279']
['846', '715', '465']
['229', '263', '638']
['154', '804', '172']
['804', '732', '551']
['333', '523', '694']
['425', '211', '193']
['610', '467', '590']
['870', '123', '782']
['730', '983', '716']
['321', '153', '397']
['123', '380', '341']
['255', '155', '444']
['695', '688', '638']
['937', '11', '165']
['263', '257', '397']
['598', '522', '543']
['228', '343', '777']
['211', '321', '377']
['961', '417', '543']
['604', '279', '590']
['963', '180', '193']
['83', '624', '846']
['980', '397', '937']
['425', '963', '341']
['846', '20', '950']
['781', '165', '601']
['943', '88', '425']
['777', '745', '543']
['519', '205', '732']
['598', '782', '831']
['65', '590', '972']
['823', '88', '172']
['80', '434', '543']
['610', '378', '662']
['669', '32', '781']
['883', '429', '434']
['328', '705', '193']
['425', '590', '598']
['831', '429', '489']
['523', '890', '157']
['83', '434', '604']
['523', '157', '155']
['586', '635', '810']
['980', '834', '489']
['554', '155', '489']
['154', '333', '874']
['929', '321', '610']
['467', '429', '945']
['804', '397', '207']
['229', '83', '434']
['705', '324', '612']
['860', '965', '175']
['586', '19', '782']
['705', '211', '104']
['635', '669', '19']
['945', '489', '432']
['716', '624', '198']
['352', '880', '662']
['570', '765', '175']
['874', '211', '88']
['402', '931', '883']
['333', '554', '88']
['568', '51', '570']
['436', '966', '211']
['51', '420', '545']
['635', '604', '228']
['157', '623', '257']
['343', '730', '612']
['198', '425', '467']
['945', '352', '966']
['444', '945', '965']
['436', '980', '97']
['207', '417', '716']
['715', '289', '88']
['88', '781', '586']
['736', '688', '162']
['745', '444', '551']
['83', '378', '568']
['162', '83', '715']
['985', '943', '119']
['791', '230', '745']
['51', '8', '157']
['694', '80', '308']
['831', '669', '602']
['88', '765', '101']
['623', '610', '165']
['804', '80', '961']
['432', '624', '649']
['899', '51', '123']
['523', '950', '943']
['694', '929', '782']
['588', '175', '308']
['943', '950', '730']
['88', '749', '950']
['588', '249', '432']
['635', '402', '197']
['623', '429', '929']
['77', '963', '420']
['604', '308', '249']
['523', '966', '20']
['588', '598', '51']
['543', '154', '624']
['602', '515', '308']
['612', '328', '705']
['931', '823', '229']
['519', '730', '436']
['810', '781', '612']
['963', '157', '165']
['725', '218', '32']
['289', '929', '623']
['377', '745', '32']
['945', '851', '101']
['730', '602', '736']
['804', '162', '377']
['669', '436', '931']
['548', '360', '417']
['638', '255', '602']
['765', '162', '834']
['963', '77', '602']
['249', '586', '691']
['812', '154', '289']
['289', '755', '945']
['402', '343', '32']
['8', '965', '175']
['649', '588', '804']
['229', '612', '467']
['20', '257', '65']
['874', '749', '333']
['746', '249', '706']
['870', '321', '465']
['884', '8', '377']
['568', '97', '880']
['804', '834', '489']
['961', '983', '782']
['205', '937', '20']
['899', '682', '972']
['522', '154', '689']
['931', '985', '380']
['352', '321', '289']
['205', '180', '612']
['385', '965', '983']
['706', '80', '697']
['972', '662', '639']
['65', '730', '965']
['104', '289', '51']
['950', '691', '749']
['586', '662', '682']
['207', '19', '465']
['598', '263', '51']
['351', '175', '377']
['377', '211', '612']
['83', '635', '980']
['601', '749', '279']
['65', '523', '189']
['983', '333', '781']
['429', '834', '963']
['568', '706', '890']
['689', '777', '781']
['263', '823', '831']
['263', '961', '308']
['810', '980', '156']
['402', '810', '175']
['101', '333', '20']
['963', '397', '810']
['601', '834', '104']
['782', '765', '207']
['234', '765', '119']
['38', '548', '97']
['153', '746', '874']
['548', '638', '65']
['515', '601', '870']
['207', '870', '543']
['255', '657', '249']
['32', '331', '333']
['249', '890', '454']
['198', '610', '705']
['352', '197', '402']
['639', '123', '697']
['77', '860', '234']
['157', '467', '980']
['534', '321', '123']
['834', '929', '804']
['378', '228', '425']
['965', '397', '155']
['980', '639', '193']
['534', '985', '554']
['586', '963', '175']
['377', '172', '812']
['691', '931', '429']
['777', '782', '205']
['255', '162', '972']
['65', '543', '791']
['19', '279', '725']
['725', '157', '736']
['689', '8', '162']
['985', '328', '308']
['321', '695', '669']
['638', '860', '162']
['249', '218', '635']
['80', '890', '343']
['65', '545', '385']
['523', '515', '649']
['397', '682', '590']
['834', '154', '943']
['489', '207', '860']
['289', '249', '489']
['899', '823', '983']
['207', '972', '635']
['263', '963', '436']
['420', '436', '83']
['324', '543', '198']
['851', '257', '197']
['234', '931', '610']
['931', '570', '870']
['162', '249', '610']
['444', '929', '255']
['180', '123', '730']
['397', '851', '623']
['436', '688', '781']
['324', '123', '588']
['846', '534', '860']
['638', '454', '321']
['791', '588', '154']
['823', '380', '899']
['705', '32', '489']
['249', '697', '328']
['765', '823', '883']
['834', '489', '791']
['860', '554', '689']
['20', '522', '623']
['343', '420', '101']
['662', '257', '649']
['444', '360', '682']
['945', '155', '420']
['639', '197', '937']
['851', '97', '691']
['667', '156', '207']
['716', '623', '263']
['157', '489', '732']
['966', '638', '950']
['157', '429', '810']
['123', '432', '715']
['716', '782', '624']
['234', '20', '230']
['218', '638', '899']
['432', '950', '255']
